date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
4/1/16,567,768,2.5589,6225.94,867.68,874,534,1401,41.73,32.27,21.25,303.4,119.3,1.11,207.04085,129.4,34.46666667,24,10.52666667,7.166666667,49.83333333,23.46666667,34.66666667,29.9,5.5,36.13333333,72.31666667,0.413333333,1009.516667,29.65,9.25,157.8166667,3.85
5/1/16,580,768,2.5544,5202.66,925.81,886,527,1469,45.32,32,20.61,75.4,106.1,1.29,187.31544,3.8,34.16129032,24.38709677,11.10645161,7.290322581,49.32258065,23.5483871,34.46774194,29.70967742,5.596774194,40.83870968,72.4516129,0.769354839,1008.967742,29.56451613,9.483870968,159.5483871,3.806451613
6/1/16,559,737,2.5266,4815.96,958.29,896,541,1709,45.77,31.91,20.63,138.9,107.3,1.32,181.30579,9.8,34.26666667,23.36666667,11.13333333,7.133333333,49.6,21.35,32.78333333,29.5,6.433333333,36.08333333,65.36666667,0.488333333,1009.733333,29.45,9.516666667,178.1333333,4.733333333
7/1/16,562,710,2.4953,4235.24,1044.75,938,541,1839,47.31,31.35,20.55,179.9,107.5,1.55,180.30551,72.4,33.87096774,23.4516129,10.52580645,7.35483871,48.70967742,21.93548387,32.83870968,29.27419355,6.774193548,30.37096774,68.37096774,0.311290323,1009.322581,29,9.516129032,167.5645161,4.887096774
8/1/16,553,654,2.5155,4246.53,1146.97,981,541,1863,46.96,31.37,20.97,196.5,93.7,1.22,165.28539,102.8,35.16129032,23.5483871,11.46451613,7.64516129,48.19354839,20.67741935,32.69354839,29.77419355,7.032258065,31.11290323,61.98387097,0.216129032,1008.806452,29.75806452,9.532258065,205.1774194,5.209677419
9/1/16,533,637,2.5269,3452.36,1252.43,1047,550,1838,50.3,30.6,20.8,351.8,93.7,1.33,158.57955,258.1,35.43333333,23.26666667,11.46,7.6,49.33333333,20.35,32.58333333,29.78333333,7.233333333,35.7,61.56666667,0.423333333,1009.45,29.78333333,9.716666667,246.05,5.35
10/1/16,498,597,2.5308,3760.36,1336.75,1096,535,1962,54.06,31.67,21.64,400.3,83.2,0.98,141.75893,317.1,34.61290323,23.41935484,11.07419355,7.387096774,47.77419355,20.67741935,32.25806452,29.35483871,7.64516129,39.37096774,63.53225806,0.293548387,1009.064516,29.33870968,9.693548387,255.3387097,5.822580645
11/1/16,504,567,2.5285,3607.56,1390.42,1093,544,2045,53.14,30.43,20.36,224.6,97.8,1.22,171.39907,126.8,33,23.46666667,10.83333333,6.466666667,49.3,23.08333333,32.55,28.43333333,5.283333333,47.88333333,74.95,1.008333333,1009.166667,28.41666667,9.316666667,172.4166667,3.75
12/1/16,525,615,2.5178,3839.11,1429.55,1083,555,1692,57.51,30.63,20.54,185.2,110.4,1.59,195.2056,74.8,32.32258065,22.74193548,10.6516129,6.290322581,48.35483871,22.08064516,31.19354839,27.91935484,6.064516129,40.80645161,73.66129032,0.556451613,1009.580645,27.90322581,8.596774194,163.4032258,4.306451613
1/1/17,547,627,2.4994,3914.95,1510.12,1083,611,1319,60.38,30.46,21.41,145.5,104.3,1.53,201.23926,41.2,31.80645161,22.64516129,10.60645161,6.387096774,48.77419355,22.19354839,31.0483871,27.69354839,5.951612903,43.08064516,75.27419355,0.620967742,1009.935484,27.62903226,8.290322581,130.6290323,4.096774194
2/1/17,556,616,2.4905,3881.83,1471.49,1090,676,1176,64.54,31.43,21.18,151.1,135.1,1.27,240.79412,16,32.60714286,22.14285714,11.1,6.321428571,51.42857143,21.96428571,31.23214286,27.80357143,5.821428571,36.51785714,73.92857143,0.373214286,1011.357143,27.80357143,8.303571429,108.1428571,4.107142857
3/1/17,566,586,2.4811,3655.3,1524.95,1058,622,950,62.71,31.79,21.54,222.7,115.7,0.93,207.36894,107,33.38709677,22.80645161,11.23870968,6.419354839,48.74193548,22.69354839,32.46774194,28.48387097,5.14516129,39.35483871,73.96774194,0.701612903,1010.241935,28.48387097,8.290322581,138.0322581,3.516129032
4/1/17,621,558,2.4842,3475.1,1591.88,1055,625,835,63.18,31.77,21.3,183.3,121,1.1,212.11425,62.3,33.46666667,23.43333333,11.08666667,6.7,49.76666667,23.08333333,33.05,28.83333333,5.65,38.68333333,74.43333333,1.142540322,1010.016667,28.83333333,8.783333333,188.85,4.083333333
5/1/17,659,559,2.4832,3164,1549.44,1029,634,759,64.68,31.6,20.46,202.8,110,1.28,196.78204,92.8,33.93548387,23.90322581,11.1516129,7.032258065,49.29032258,23.30645161,33.69354839,29.16129032,6.016129032,37.32258065,72.98387097,1.046774194,1009.048387,29.16129032,9,142.4354839,4.225806452
6/1/17,671,578,2.4727,3106.16,1352.83,949,652,817,67.94,31.06,20.29,329.6,106.1,1.23,181.85794,223.5,34.4,23.23333333,11.46,7.3,49.9,21.88333333,32.8,29.26666667,6,32.2,68.58333333,0.606666667,1009.633333,29.26666667,9.466666667,152.0333333,4.15
