date,cpo_pri,cno_pri,exmaus,oli_pri,rps_pri,pno_pri,sbo_pri,sfo_pri,wti_spri,tmax_degC,tmin_degC,ppt_mm,pet_mm,ws_mps,srad,q_mm,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,HeatIndexC 
2014-06-01,687,632,2.4114,4161.09,654.17,990.0,652.0,591.0,41.04,31.76,19.98,174.1,114.9,1.31,199.9269,59.2,34.06666667,23.26666667,0,11.6,7.566666667,49.53333333,22.05,32.78333333,32.78333333,28.88333333,7.2,22.95,69.31666667,0.288333333,1007.8,28.88333333,9.533333333,192.7333333,5.2,
2014-07-01,625,619,2.4146,4503.83,687.82,981.0,610.0,595.0,40.94,31.5,20.45,165.7,121.1,1.56,212.01822,44.6,33.90322581,22.80645161,0,11.41935484,7.129032258,48.90322581,21.38709677,32.19354839,32.19354839,28.74193548,7.064516129,24.75806452,67.62903226,0.298387097,1009.016129,28.67741935,9.741935484,178.7580645,5.193548387,
2014-08-01,611,616,2.413,4446.18,734.38,973.0,595.0,606.0,39.25,31.22,20.03,229.2,107.2,1.25,193.92525,122.0,32.87096774,22.70967742,0,11.01290323,6.806451613,49.38709677,22.19354839,31.61290323,31.70967742,27.93548387,6.967741935,37.83870968,73.29032258,0.403225806,1009.66129,27.93548387,9.193548387,191.7741935,5.016129032,
2014-09-01,631,668,2.406,4465.47,727.47,965.0,611.0,659.0,46.36,30.6,20.4,232.8,103.9,1.21,182.93023,128.9,32.96666667,22.76666667,0,11.32,6.766666667,49.9,22.28333333,31.95,32.0,28.18333333,6.316666667,33.9,73.23333333,0.343333333,1010.083333,28.18333333,9.666666667,168.8833333,4.683333333,
2014-10-01,655,693,2.3219,4624.57,711.64,969.0,626.0,679.0,48.74,31.33,21.48,230.7,97.8,0.85,179.43327,132.9,32.70967742,23.19354839,0,10.99032258,6.483870968,50.0,23.19354839,32.46774194,32.46774194,28.03225806,6.193548387,39.32258065,76.67741935,0.562903226,1009.758065,28.03225806,9.048387097,165.5,4.451612903,
2014-11-01,616,686,2.357,4591.11,728.91,980.0,616.0,666.0,52.85,29.59,20.56,298.1,87.0,1.18,150.74539,211.1,31.56666667,23.06666667,0,10.74666667,6.466666667,50.1,23.36666667,31.8,31.83333333,27.65,6.166666667,46.7,79.46666667,0.328333333,1009.2,27.4,8.4,139.0666667,4.433333333,
2014-12-01,586,677,2.3064,4749.52,716.23,981.0,614.0,647.0,53.48,29.13375,20.43,212.2,104.4,1.53,193.22906,107.8,29.967741945000007,22.77419355,0,9.748387097,6.193548387,50.61290323,23.22580645,30.72580645,30.79032258,27.17741935,5.403225806,57.967943536250004,81.29032258,0.0,1010.032258,26.41935484,7.760191880249998,120.1290323,3.741935484,
2015-01-01,615,718,2.2659,4973.13,738.57,990.0,638.0,666.0,51.91,30.51,20.23,61.6,112.7,1.73,222.17301,3.1,32.35483871,21.83870968,0,11.05806452,6.516129032,51.09677419,21.64516129,30.66129032,30.83870968,27.5,5.758064516,40.51612903,73.85483871,0.162903226,1011.467742,27.4516129,8.564516129,108.0483871,4.0,
2015-02-01,607,750,2.2431,5082.29,773.72,995.0,623.0,669.0,49.45,30.93,20.88,271.2,123.5,1.1,221.87693,113.4,33.92857143,21.85714286,0,10.85,6.785714286,48.75,20.67857143,31.16071429,31.32142857,28.375,5.946428571,36.78571429,67.64285714,0.128571429,1011.517857,28.33928571,9.428571429,92.91071429,4.196428571,
2015-03-01,590,718,2.2833,5002.53,828.42,988.0,579.0,666.0,50.11,31.69,21.09,292.7,120.5,1.02,218.98813,172.2,33.16129032,22.83870968,0,10.56129032,6.64516129,51.03225806,22.56451613,32.43548387,32.43548387,28.62903226,5.596774194,35.03225806,73.38709677,0.241935484,1010.854839,28.38709677,8.822580645,122.4354839,3.693548387,
2015-04-01,535,711,2.2585,5473.141250000001,829.91,959.0,554.0,722.0,54.11,32.02,21.29,259.2,117.3,1.13,203.96801,141.9,33.86666667,23.66666667,0,11.13333333,6.9,50.53333333,23.15,33.53333333,33.53333333,29.31666667,5.8,31.76666667,73.16666667,0.615,1009.65,29.08333333,8.6,134.9666667,4.083333333,
2015-05-01,518,738,2.2803,5473.141250000001,820.58,925.0,548.0,730.0,51.62,31.8,20.1,170.9,122.3,1.26,226.64624,48.6,34.41935484,23.83870968,0,11.37419355,7.258064516,51.67741935,23.14516129,33.91935484,33.91935484,29.5,6.0,32.61290323,72.14516129,0.787096774,1009.774194,29.40322581,9.35483871,137.8709677,4.129032258,
2015-06-01,519,723,2.4149,5473.141250000001,809.12,911.0,538.0,719.0,52.32,31.71,20.33,104.5,111.8,1.31,193.53314,5.2,34.06666667,23.56666667,0,11.0,7.3,50.73333333,22.4,33.11666667,33.11666667,29.26666667,6.85,32.23333333,69.83333333,0.49,1009.316667,29.21666667,9.316666667,161.35,4.866666667,
2015-07-01,562,756,2.5139,5473.141250000001,785.73,895.0,582.0,709.0,56.57,30.84,19.9,314.7,114.7,1.36,200.88716,192.1,34.51612903,23.67741935,0,11.41935484,7.64516129,52.25806452,21.46774194,32.80645161,32.80645161,29.56451613,7.258064516,30.03225806,65.32258065,0.382258065,1009.66129,29.51612903,9.709677419,179.016129,5.258064516,
2015-08-01,552,778,2.5501,5473.141250000001,784.4,897.0,591.0,713.0,55.55,31.12,20.57,187.7,103.8,1.15,190.24424,83.9,34.09677419,23.58064516,0,11.1483871,7.258064516,51.96774194,21.85483871,32.69354839,32.69354839,29.19354839,6.919354839,38.01612903,67.48387097,0.690322581,1010.209677,29.17741935,9.5,165.3225806,5.032258065,
2015-09-01,508,816,2.5687,5473.141250000001,822.39,904.0,563.0,755.0,56.08,30.46,20.8,374.5,100.3,1.19,175.43217,274.2,33.46666667,23.5,0,10.66666667,7.266666667,50.53333333,21.83333333,32.36666667,32.36666667,29.06666667,6.383333333,40.3,68.1,0.338333333,1010.066667,28.76666667,9.633333333,191.7166667,4.766666667,
2015-10-01,476,775,2.5689,5473.141250000001,854.31,902.0,549.0,831.0,58.66,31.57,21.64,301.2,100.6,0.97,182.59414,200.6,34.29032258,23.70967742,0,11.06129032,7.161290323,51.32258065,22.0,32.91935484,32.91935484,29.40322581,6.0,37.25806452,68.08064516,0.517741935,1010.854839,29.38709677,9.661290323,118.1129032,4.161290323,
