Date,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2016-12,32.32258065,22.74193548,0,10.6516129,6.290322581,48.35483871,22.08064516,31.19354839,31.22580645,27.91935484,6.064516129,40.80645161,73.66129032,0.556451613,1009.580645,27.90322581,8.596774194,163.4032258,4.306451613
2017-01,31.80645161,22.64516129,0,10.60645161,6.387096774,48.77419355,22.19354839,31.0483871,31.0483871,27.69354839,5.951612903,43.08064516,75.27419355,0.620967742,1009.935484,27.62903226,8.290322581,130.6290323,4.096774194
2017-02,32.60714286,22.14285714,0,11.1,6.321428571,51.42857143,21.96428571,31.23214286,31.35714286,27.80357143,5.821428571,36.51785714,73.92857143,0.373214286,1011.357143,27.80357143,8.303571429,108.1428571,4.107142857
2017-03,33.38709677,22.80645161,0,11.23870968,6.419354839,48.74193548,22.69354839,32.46774194,32.46774194,28.48387097,5.14516129,39.35483871,73.96774194,0.701612903,1010.241935,28.48387097,8.290322581,138.0322581,3.516129032
2017-04,33.46666667,23.43333333,0,11.08666667,6.7,49.76666667,23.08333333,33.05,33.05,28.83333333,5.65,38.68333333,74.43333333,1.395,1010.016667,28.83333333,8.783333333,188.85,4.083333333
2017-05,33.93548387,23.90322581,0,11.1516129,7.032258065,49.29032258,23.30645161,33.69354839,33.69354839,29.16129032,6.016129032,37.32258065,72.98387097,1.046774194,1009.048387,29.16129032,9,142.4354839,4.225806452
2017-06,34.4,23.23333333,0,11.46,7.3,49.9,21.88333333,32.8,32.8,29.26666667,6,32.2,68.58333333,0.606666667,1009.633333,29.26666667,9.466666667,152.0333333,4.15
2017-07,34.06451613,23.83870968,0,11.32903226,7.35483871,50.06451613,21.5483871,32.66129032,32.66129032,29.29032258,6.887096774,30.25806452,66,0.49516129,1009.709677,29.29032258,9.580645161,163.6290323,5.241935484
2017-08,33.41935484,24.32258065,0,10.96774194,7.129032258,50.38709677,22.17741935,32.80645161,32.80645161,29.24193548,7.403225806,41.29032258,67.83870968,0.643548387,1009.322581,29.24193548,9.516129032,179.6290323,5.64516129
2017-09,33.53333333,24.36666667,0,11.32,7.133333333,50.26666667,22.35,32.98333333,32.98333333,29.28333333,6.933333333,39.73333333,68.51666667,0.99,1009.75,29.28333333,9.383333333,174.8666667,5.433333333
2017-10,34,24.80645161,0,11.20322581,7.322580645,51.09677419,22.12903226,33.37096774,33.37096774,29.80645161,6.467741935,32.87096774,66.43548387,0.638709677,1009.306452,29.75806452,9.564516129,217.5322581,5.177419355
2017-11,31.46666667,23.83333333,0,9.946666667,6.433333333,50.56666667,23.2,31.61666667,31.61666667,27.86666667,5.616666667,51.91666667,77.75,0.756666667,1008.3,27.86666667,8.75,185,4.383333333
2017-12,32.06451613,23.51612903,0,11.05806452,6.483870968,51.61290323,22.64516129,31.80645161,31.80645161,28.12903226,5.64516129,41.96774194,74.61290323,0.709677419,1009.903226,28.12903226,9.419354839,154.9677419,4.129032258
2018-01,30.87096774,22.74193548,0,10.51612903,6.096774194,52.25806452,22.35483871,30.41935484,30.56451613,27.11290323,4.806451613,48.06451613,77.35483871,0.933870968,1009.33871,27.11290323,8.870967742,157.2903226,3.516129032
2018-02,33.07142857,22.64285714,0,10.55,6.892857143,47.5,21.44642857,31.55357143,31.55357143,28.39285714,6.125,37.60714286,69.14285714,0.167857143,1011.339286,28.39285714,9.839285714,104.0357143,4.5
2018-03,33.38709677,23.64516129,0,11.10322581,6.806451613,52.16129032,22.75806452,32.88709677,32.88709677,29,5.290322581,35.5483871,71.82258065,0.553225806,1009.967742,28.91935484,9.612903226,135.1290323,4.064516129
2018-04,33.76666667,23.96666667,0,10.94666667,7.133333333,50.8,23.03333333,33.71666667,33.71666667,29.56666667,5.266666667,36.91666667,71.11666667,0.418333333,1009.15,29.25,9.783333333,150.7666667,4.05
2018-05,33.06451613,24.29032258,0,11.1483871,6.935483871,51.96774194,23.69354839,33.64516129,33.64516129,29,6.467741935,41.67741935,75.48387097,0.764516129,1009.306452,29,9.387096774,128.7258065,4.774193548
2018-06,33.43333333,24.23333333,0,11.22666667,7.3,50.53333333,22.4,32.93333333,32.93333333,29.23333333,7.166666667,33.96666667,69.33333333,0.431666667,1009.816667,29.21666667,9.733333333,150.4333333,5.583333333
2018-07,33.25806452,23.96774194,0,11.46451613,7.193548387,51.35483871,21.69354839,32.40322581,32.40322581,29.03225806,7.935483871,30.67741935,66.82258065,0.456451613,1009.096774,29.03225806,9.677419355,158.6290323,6.225806452
2018-08,34.03225806,24.41935484,0,11.41935484,7.64516129,50.93548387,21.06451613,32.61290323,32.61290323,29.58064516,8.064516129,27.40322581,62.80645161,0.266129032,1009.387097,29.58064516,9.790322581,173.1129032,6.419354839
2018-09,33.13333333,24,0,10.99333333,7.066666667,50.1,21.73333333,32.2,32.2,28.96666667,7.466666667,40.1,67.21666667,0.54,1010.05,28.91666667,9.75,154.2166667,5.883333333
2018-10,32.67741935,23.96774194,0,10.90322581,6.709677419,50.25806452,22.87096774,32.61290323,32.61290323,28.64516129,6.080645161,41.03225806,73.20967742,0.94516129,1010.467742,28.64516129,9.419354839,173.6129032,4.677419355
2018-11,32.4,23.93333333,0,10.62,6.8,50,23.28333333,32.56666667,32.56666667,28.5,6.083333333,42,75,0.7,1009.983333,28.5,9.566666667,173.2166667,4.583333333
